Ville,Type de bien,Prix
Doullens ,maison,359900
Nantes ,appartement,50500
Reims ,appartement,89200
Cagnes-sur-Mer ,appartement,350000
Senlis ,appartement,295000
Guyancourt ,appartement,92100
Reims ,appartement,80200
Massy ,appartement,156400
Chessy ,appartement,113100
Nancy ,appartement,76000
Nantes ,appartement,64000
Saint-Gervais ,maison,191340
Nantes ,appartement,86700
Rennes ,appartement,50000
Bennecourt ,maison,213000
Senlis ,appartement,336000
Reims ,appartement,108400
Metz ,appartement,66000
Rennes ,appartement,58000
Paris 20ème ,appartement,940000
Senlis ,appartement,302000
Menton ,viager,285000
Athis-Mons ,appartement,249000
Chatres ,maison,357900
Eygalières ,maison,1890000
Senlis ,appartement,365000
Montpellier ,appartement,69000
Clermont-Ferrand ,appartement,55000
Rennes ,appartement,50000
Saint-Rémy-de-Provence ,maison,1799000
Senlis ,appartement,367000
Doullens ,maison,258900
Rennes ,appartement,50000
Marseille 1er ,appartement,77000
Maussane-les-Alpilles ,maison,1855000
Senlis ,appartement,256000
Wintzenheim ,appartement,211400
Reims ,appartement,73000
Montreuil ,appartement,126800
Lyon 7ème ,appartement,64000
Lyon 7ème ,appartement,67000
Carrieres-sur-seine ,appartement,76000
Saint-Jammes ,maison,224400
Vitry-sur-Seine ,appartement,92100
Metz ,appartement,68000
Mas-Blanc-des-Alpilles ,maison,1550000
Senlis ,appartement,290000
La Rochelle ,appartement,68000
Bordeaux ,appartement,126800
Nantes ,appartement,57500
Fontvieille ,maison,1590000
Senlis ,appartement,302000
Massy ,maison,349135
Pineuilh ,maison,240000
Montpellier ,appartement,110000
L'Isle-sur-la-Sorgue ,appartement,1595000
Senlis ,appartement,323500
Clermont-Ferrand ,appartement,66000
Valenciennes ,appartement,140900
Marseille 6ème ,appartement,85600
Saint-Rémy-de-Provence ,maison,1250000
Senlis ,appartement,301000
Amiens ,maison,185900
Guyancourt ,appartement,88900
Paris 18ème ,appartement,430000
Fontvieille ,maison,1378000
Senlis ,appartement,288500
Montpellier ,appartement,278500
Montpellier ,appartement,136960
Vence ,appartement,440000
Aix-en-Provence ,maison,2400000
Fresnes-sur-Escaut ,maison,152900
Sainte-Marie-de-Ré ,maison,945000
Saint-Jammes ,maison,296000
Bry-sur-Marne ,maison,378000
Puget-sur-Argens ,maison,450000
Les Baux-de-Provence ,maison,1480000
Senlis ,appartement,270000
Montauroux ,maison,435000
Perpignan ,maison,251900
Ecuisses ,maison,259000
Tarascon ,maison,1325000
Senlis ,appartement,224500
Tremblay-en-France ,maison,313900
